id,ground_truth,service,noise_condition,snr_db,prediction,wer
Q036,How to register business in Bhutan?,business,snr_15db,15.0,How to register business in Bhutan?,0.0
Q037,I want to start small shop how to begin?,business,snr_15db,15.0,I want to start small shop how to begin.,0.0
Q038,Steps for sole proprietorship registration?,business,snr_15db,15.0,Steps for soil proprietorship registration,0.2
Q039,How I apply trade licence?,business,snr_15db,15.0,How I apply tree license?,0.4
Q040,Where I start to register my company?,business,snr_15db,15.0,where I start to register my company.,0.0
Q041,Where is business registration office Thimphu?,business,snr_15db,15.0,"Where is business registration office, Thimphu?",0.0
Q042,MOEA office address in Bhutan?,business,snr_15db,15.0,near office addressed in Bhutan.,0.4
Q043,Which office I go for trade licence?,business,snr_15db,15.0,which office I go for trade license.,0.1429
Q044,Business registration office open what time?,business,snr_15db,15.0,Business registration office open with time.,0.1667
Q045,Nearest registration office from Paro?,business,snr_15db,15.0,nearest registration office from Borrow.,0.2
Q046,Can I get permit if I am not citizen?,permits,snr_15db,15.0,Can I get permit if I am not citizen?,0.0
Q047,Am I eligible for timber permit if land not in my name?,permits,snr_15db,15.0,Am I eligible for timber permits if land not in my name?,0.0833
Q048,Foreign person can get business permit?,permits,snr_15db,15.0,Foreign person can get business permit.,0.0
Q049,I am from India can I register business in Bhutan?,business,snr_15db,15.0,"I am from India, can I register business in Bhutan?",0.0
Q050,Can child get BHU service free?,health,snr_15db,15.0,Can child get VHU service free?,0.1667
Q051,Is BHU service free for all Bhutanese?,health,snr_15db,15.0,is BHU service free for all Bhutanese.,0.0
Q052,Who can get free vaccination in Bhutan?,health,snr_15db,15.0,Who can get free vaccination in Bhutan?,0.0
Q053,Can foreign worker get hospital service?,health,snr_15db,15.0,Can Foreign Worker get Hospital Service?,0.0
Q054,Am I eligible to register sole proprietorship?,business,snr_15db,15.0,Am I eligible to register sole proprietorship?,0.0
Q055,What is BHU and what it does?,health,snr_15db,15.0,What is BHU and what it does?,0.0
Q056,How long permit application take?,permits,snr_15db,15.0,How long permit application take?,0.0
Q057,What is trade licence in Bhutan?,business,snr_15db,15.0,which is trade license in Bhutan.,0.3333
Q058,Tell me about business registration process,business,snr_15db,15.0,Tell me about business registration process.,0.0
Q059,What services government provide for health?,health,snr_15db,15.0,What services government provide for health?,0.0
Q060,How long business registration take in Bhutan?,business,snr_15db,15.0,How long business registration take in Bhutan?,0.0
